obs. type,parameter,value,upper error,lower error,journal,lead author,month,year,num cites,reference,arXiv,Notes
lensing,H_0,44,4,0,ApJ,Impey,12,1998,109,http://adsabs.harvard.edu/abs/1998ApJ...509..551I,astro-ph/9803207,More than one value actually given in abstract
BBN,Omega_baryon,0.025,0.05,0,ApJ,Izotov,1,1997,320,http://adsabs.harvard.edu/abs/1997ApJS..108....1I,,Not sure if this is right
BBN,Omega_baryon,0.128,0.028,-0.023,ApJ,Izotov,12,1999,123,http://adsabs.harvard.edu/abs/1999ApJ...527..757I,astro-ph/9907228,Parameterised value
other,Omega_baryon,0.023,0.006,-0.004,ApJ,Izotov,2,2004,168,http://adsabs.harvard.edu/abs/2004ApJ...602..200I,astro-ph/0310421,Parameterised value
other,Omega_M,0.5,0.2,0,ApJ,Jaffe,12,1995,21,http://adsabs.harvard.edu/abs/1995ApJ...455...26J,astro-ph/9408046,Not sure if this is right
other,H_0,87,11,0,ApJ,Jensen,1,1999,28,http://adsabs.harvard.edu/abs/1999ApJ...510...71J,astro-ph/9807326,
other,H_0,69,12,0,ApJ,Jimenez,8,2003,81,http://adsabs.harvard.edu/abs/2003ApJ...593..622J,astro-ph/0302560,
z distort,Omega_M*H_0,0.45,0.05,0,ApJ,Jing,2,1998,182,http://adsabs.harvard.edu/abs/1998ApJ...494....1J,astro-ph/9707106,Not sure if this is right parameter
pec vels,Beta,0.3,0.1,0,ApJ,Kashlinsky,1,1998,23,http://adsabs.harvard.edu/abs/1998ApJ...492....1K,astro-ph/9705002,Can’t see values in abstract
LSS,Omega_M,0.275,0.025,0,ApJ,Kashlinsky,1,1998,23,http://adsabs.harvard.edu/abs/1998ApJ...492....1K,astro-ph/9705002,Can’t see values in abstract
lensing,H_0,51,14,-13,ApJ,Keeton,9,1997,93,http://adsabs.harvard.edu/abs/1997ApJ...487...42K,astro-ph/9611216,
BBN,Omega_baryon,0.043,0.004,0,ApJ,Kirkman,11,2003,283,http://adsabs.harvard.edu/abs/2003ApJS..149....1K,astro-ph/0302006,Parameterised value
Clusters,Sigma_8,1.04,0.04,0,ApJ,Kitayama,12,1997,127,http://adsabs.harvard.edu/abs/1997ApJ...490..557K,astro-ph/9702017,"I think this is it, but can’t find values"
LSS,Omega_M,0,0,0,ApJ,Klypin,6,1994,32,http://adsabs.harvard.edu/abs/1994ApJ...428..399K,astro-ph/9309034,Zero values?
SN,Omega_M,0.25,0.07,-0.06,ApJ,Knop,11,2003,882,http://adsabs.harvard.edu/abs/2003ApJ...598..102K,astro-ph/0309368,
SN,Omega_Lambda,0.75,0.06,-0.07,ApJ,Knop,11,2003,882,http://adsabs.harvard.edu/abs/2003ApJ...598..102K,astro-ph/0309368,
SN,w_0,-1.05,0.15,-0.2,ApJ,Knop,11,2003,882,http://adsabs.harvard.edu/abs/2003ApJ...598..102K,astro-ph/0309368,
CMB,Omega_Lambda,0,0,0,ApJ,Knox,12,2001,95,http://adsabs.harvard.edu/abs/2001ApJ...563L..95K,astro-ph/0109232,Zero values?
lensing,Omega_M,0.32,0.11,0,ApJ,Kochanek,11,1995,82,http://adsabs.harvard.edu/abs/1995ApJ...453..545K,astro-ph/9411082,"I think this is it, but can’t find values"
lensing,Omega_Lambda,0,0,0,ApJ,Kochanek,8,1996,353,http://adsabs.harvard.edu/abs/1996ApJ...466..638K,astro-ph/9510077,
lensing,H_0,72,8,0,ApJ,Kochanek,1,2003,41,http://adsabs.harvard.edu/abs/2003ApJ...583...49K,astro-ph/0206006,
BBN,Omega_baryon,0.028,0.011,-0.006,ApJ,Kohri,11,1997,34,http://adsabs.harvard.edu/abs/1997ApJ...490...72K,astro-ph/9612237,Parameterised value
pec vels,Omega_M*H_0,0.75,0.05,0,ApJ,Kolatt,4,1997,58,http://adsabs.harvard.edu/abs/1997ApJ...479..592K,,Right parameter?
combined,Omega_Lambda,0.726,0.015,0,ApJ,Komatsu,2,2009,2064,http://adsabs.harvard.edu/abs/2009ApJS..180..330K,0803.0547,
combined,Sigma_8,0.812,0.016,0,ApJ,Komatsu,2,2009,2064,http://adsabs.harvard.edu/abs/2009ApJS..180..330K,0803.0547,
combined,n,0.96,0.013,0,ApJ,Komatsu,2,2009,2064,http://adsabs.harvard.edu/abs/2009ApJS..180..330K,0803.0547,
combined,Omega_baryon,0.046,0.002,0,ApJ,Komatsu,2,2009,2064,http://adsabs.harvard.edu/abs/2009ApJS..180..330K,0803.0547,
combined,NULL,51,30,0,ApJ,Komatsu,2,2009,2064,http://adsabs.harvard.edu/abs/2009ApJS..180..330K,0803.0547,Huh?
lensing,H_0,75,7,-6,ApJ,Koopmans,12,2003,67,http://adsabs.harvard.edu/abs/2003ApJ...599...70K,astro-ph/0306216,
lensing,H_0,64,4,-3.5,ApJ,Koopmans,12,1999,80,http://adsabs.harvard.edu/abs/1999ApJ...527..513K,astro-ph/9907258,More than one value actually given in abstract
SN,w_0,-0.969,0.086,-0.09,ApJ,Kowalski,10,2008,361,,,Can’t find
SN,Omega_Lambda,0.713,0.027,-0.029,ApJ,Kowalski,10,2008,444,,,Can’t find
lensing,H_0,64,13,0,ApJ,Kundic,6,1997,209,http://adsabs.harvard.edu/abs/1997ApJ...482...75K,astro-ph/9610162,
Clusters,Omega_M,0.25,0.15,0,ApJ,Ledlow,5,1999,15,http://adsabs.harvard.edu/abs/1999ApJ...516L..53L,astro-ph/9903117,Bounded data
Clusters,Sigma_8,1.01,0.09,0,ApJ,Lee,6,2006,6,http://adsabs.harvard.edu/abs/2006ApJ...643..724L,astro-ph/0508540,
SN,H_0,59,11,0,ApJ,Leonard,9,2003,68,http://adsabs.harvard.edu/abs/2003ApJ...594..247L,astro-ph/0305259,
other,Omega_Lambda,0.75,0.05,-0.04,ApJ,Liang,9,2008,27,http://adsabs.harvard.edu/abs/2008ApJ...685..354L,0802.4262,More parameters given in abstract
other,w_0,-1.05,0.27,-0.4,ApJ,Liang,9,2008,27,http://adsabs.harvard.edu/abs/2008ApJ...685..354L,0802.4262,More parameters given in abstract
